"id"	"Reflexive_pronoun"	"De_complement"	"Year"	"Verb"
322	"no"	"yes"	1565	"burlar"
323	"no"	"no"	1565	"burlar"
324	"no"	"no"	1565	"burlar"
325	"yes"	"no"	1578	"burlar"
326	"no"	"yes"	1578	"burlar"
327	"no"	"no"	1578	"burlar"
328	"yes"	"no"	1578	"burlar"
329	"no"	"no"	1552	"burlar"
330	"no"	"yes"	1554	"burlar"
331	"no"	"yes"	1554	"burlar"
332	"no"	"no"	1554	"burlar"
333	"no"	"yes"	1554	"burlar"
334	"no"	"yes"	1554	"burlar"
335	"yes"	"yes"	1554	"burlar"
336	"no"	"yes"	1554	"burlar"
337	"no"	"yes"	1554	"burlar"
338	"no"	"yes"	1554	"burlar"
339	"no"	"yes"	1554	"burlar"
340	"no"	"yes"	1554	"burlar"
341	"no"	"yes"	1554	"burlar"
342	"no"	"yes"	1554	"burlar"
343	"no"	"no"	1554	"burlar"
344	"no"	"no"	1554	"burlar"
345	"no"	"yes"	1554	"burlar"
346	"no"	"yes"	1558	"burlar"
347	"no"	"no"	1558	"burlar"
348	"no"	"no"	1558	"burlar"
349	"no"	"no"	1558	"burlar"
350	"no"	"no"	1558	"burlar"
351	"yes"	"no"	1559	"burlar"
352	"no"	"yes"	1559	"burlar"
353	"yes"	"yes"	1559	"burlar"
354	"no"	"yes"	1559	"burlar"
355	"no"	"yes"	1559	"burlar"
356	"no"	"no"	1559	"burlar"
357	"yes"	"no"	1559	"burlar"
358	"no"	"yes"	1559	"burlar"
359	"no"	"yes"	1559	"burlar"
360	"yes"	"yes"	1559	"burlar"
361	"no"	"no"	1559	"burlar"
362	"no"	"yes"	1564	"burlar"
363	"no"	"yes"	1564	"burlar"
364	"no"	"yes"	1564	"burlar"
365	"no"	"yes"	1564	"burlar"
366	"no"	"yes"	1564	"burlar"
367	"no"	"no"	1566	"burlar"
368	"yes"	"yes"	1566	"burlar"
369	"yes"	"yes"	1566	"burlar"
370	"no"	"yes"	1566	"burlar"
371	"no"	"yes"	1572	"burlar"
372	"no"	"no"	1572	"burlar"
373	"no"	"no"	1572	"burlar"
374	"no"	"no"	1572	"burlar"
375	"no"	"no"	1572	"burlar"
376	"no"	"yes"	1569	"burlar"
377	"no"	"yes"	1569	"burlar"
378	"no"	"yes"	1569	"burlar"
379	"yes"	"yes"	1569	"burlar"
380	"no"	"no"	1569	"burlar"
381	"no"	"no"	1569	"burlar"
382	"yes"	"yes"	1569	"burlar"
383	"yes"	"no"	1569	"burlar"
384	"yes"	"no"	1569	"burlar"
385	"no"	"no"	1569	"burlar"
386	"no"	"yes"	1569	"burlar"
387	"yes"	"no"	1569	"burlar"
388	"no"	"yes"	1569	"burlar"
389	"yes"	"no"	1569	"burlar"
390	"yes"	"yes"	1569	"burlar"
391	"no"	"yes"	1569	"burlar"
392	"no"	"yes"	1569	"burlar"
393	"no"	"yes"	1569	"burlar"
394	"no"	"yes"	1569	"burlar"
395	"no"	"yes"	1569	"burlar"
396	"no"	"yes"	1571	"burlar"
397	"no"	"yes"	1571	"burlar"
398	"no"	"no"	1569	"burlar"
399	"no"	"no"	1578	"burlar"
400	"no"	"no"	1574	"burlar"
401	"no"	"yes"	1574	"burlar"
402	"yes"	"no"	1574	"burlar"
403	"yes"	"no"	1574	"burlar"
404	"yes"	"no"	1574	"burlar"
405	"yes"	"no"	1574	"burlar"
406	"no"	"yes"	1574	"burlar"
407	"no"	"yes"	1574	"burlar"
408	"yes"	"no"	1574	"burlar"
409	"yes"	"no"	1574	"burlar"
410	"no"	"yes"	1582	"burlar"
411	"no"	"yes"	1582	"burlar"
412	"yes"	"yes"	1582	"burlar"
413	"yes"	"yes"	1596	"burlar"
414	"yes"	"yes"	1596	"burlar"
415	"no"	"yes"	1596	"burlar"
416	"no"	"no"	1596	"burlar"
417	"yes"	"yes"	1596	"burlar"
418	"no"	"yes"	1596	"burlar"
419	"yes"	"yes"	1596	"burlar"
420	"no"	"yes"	1596	"burlar"
421	"yes"	"yes"	1596	"burlar"
422	"no"	"yes"	1596	"burlar"
423	"no"	"no"	1581	"burlar"
424	"yes"	"yes"	1585	"burlar"
425	"yes"	"yes"	1585	"burlar"
426	"no"	"yes"	1585	"burlar"
427	"no"	"yes"	1585	"burlar"
428	"yes"	"yes"	1587	"burlar"
429	"yes"	"no"	1587	"burlar"
430	"no"	"yes"	1587	"burlar"
431	"yes"	"no"	1587	"burlar"
432	"yes"	"no"	1587	"burlar"
433	"yes"	"no"	1587	"burlar"
434	"yes"	"yes"	1587	"burlar"
435	"yes"	"no"	1587	"burlar"
436	"no"	"yes"	1588	"burlar"
437	"no"	"yes"	1588	"burlar"
438	"yes"	"yes"	1588	"burlar"
439	"yes"	"yes"	1588	"burlar"
440	"no"	"no"	1588	"burlar"
441	"no"	"yes"	1588	"burlar"
442	"yes"	"yes"	1593	"burlar"
443	"yes"	"no"	1593	"burlar"
444	"no"	"yes"	1593	"burlar"
445	"no"	"no"	1593	"burlar"
446	"yes"	"yes"	1593	"burlar"
447	"no"	"yes"	1596	"burlar"
448	"no"	"no"	1596	"burlar"
449	"no"	"no"	1596	"burlar"
450	"no"	"no"	1596	"burlar"
451	"no"	"no"	1596	"burlar"
452	"no"	"yes"	1596	"burlar"
453	"no"	"no"	1596	"burlar"
454	"no"	"no"	1596	"burlar"
455	"no"	"yes"	1596	"burlar"
456	"no"	"yes"	1621	"burlar"
457	"no"	"no"	1621	"burlar"
458	"no"	"yes"	1621	"burlar"
459	"no"	"no"	1621	"burlar"
460	"no"	"no"	1621	"burlar"
461	"yes"	"no"	1621	"burlar"
462	"no"	"yes"	1621	"burlar"
463	"yes"	"yes"	1621	"burlar"
464	"yes"	"no"	1621	"burlar"
465	"yes"	"yes"	1621	"burlar"
466	"no"	"no"	1621	"burlar"
467	"no"	"no"	1597	"burlar"
468	"no"	"yes"	1597	"burlar"
469	"yes"	"yes"	1598	"burlar"
470	"yes"	"no"	1598	"burlar"
471	"yes"	"no"	1598	"burlar"
472	"no"	"no"	1598	"burlar"
473	"yes"	"yes"	1598	"burlar"
474	"yes"	"yes"	1599	"burlar"
475	"yes"	"no"	1599	"burlar"
476	"yes"	"yes"	1599	"burlar"
477	"yes"	"no"	1599	"burlar"
478	"no"	"yes"	1599	"burlar"
479	"no"	"yes"	1600	"burlar"
480	"no"	"yes"	1600	"burlar"
481	"no"	"yes"	1600	"burlar"
482	"yes"	"yes"	1600	"burlar"
483	"no"	"yes"	1600	"burlar"
484	"no"	"yes"	1600	"burlar"
485	"no"	"yes"	1600	"burlar"
486	"yes"	"no"	1600	"burlar"
487	"no"	"no"	1600	"burlar"
488	"no"	"yes"	1600	"burlar"
489	"no"	"no"	1600	"burlar"
490	"no"	"yes"	1600	"burlar"
491	"yes"	"yes"	1600	"burlar"
492	"no"	"yes"	1600	"burlar"
493	"no"	"yes"	1600	"burlar"
494	"no"	"yes"	1600	"burlar"
495	"no"	"no"	1600	"burlar"
496	"yes"	"no"	1609	"burlar"
497	"no"	"yes"	1609	"burlar"
498	"no"	"no"	1609	"burlar"
499	"no"	"no"	1606	"burlar"
500	"yes"	"no"	1606	"burlar"
501	"yes"	"no"	1606	"burlar"
502	"no"	"yes"	1606	"burlar"
503	"no"	"yes"	1600	"burlar"
504	"no"	"no"	1603	"burlar"
505	"yes"	"no"	1603	"burlar"
506	"yes"	"no"	1603	"burlar"
507	"no"	"no"	1603	"burlar"
508	"yes"	"no"	1603	"burlar"
509	"yes"	"no"	1603	"burlar"
510	"no"	"no"	1603	"burlar"
511	"no"	"yes"	1612	"burlar"
512	"yes"	"yes"	1604	"burlar"
513	"no"	"yes"	1604	"burlar"
514	"yes"	"yes"	1604	"burlar"
515	"yes"	"yes"	1604	"burlar"
516	"yes"	"no"	1605	"burlar"
517	"yes"	"no"	1605	"burlar"
518	"no"	"no"	1605	"burlar"
519	"no"	"yes"	1605	"burlar"
520	"yes"	"no"	1605	"burlar"
521	"yes"	"no"	1605	"burlar"
522	"yes"	"no"	1605	"burlar"
523	"no"	"yes"	1605	"burlar"
524	"no"	"no"	1605	"burlar"
525	"yes"	"no"	1605	"burlar"
526	"yes"	"no"	1605	"burlar"
527	"yes"	"no"	1605	"burlar"
528	"no"	"no"	1605	"burlar"
529	"yes"	"no"	1605	"burlar"
530	"no"	"no"	1605	"burlar"
531	"yes"	"no"	1605	"burlar"
532	"yes"	"no"	1605	"burlar"
533	"yes"	"no"	1605	"burlar"
534	"yes"	"no"	1605	"burlar"
535	"yes"	"no"	1605	"burlar"
536	"yes"	"no"	1605	"burlar"
537	"yes"	"no"	1605	"burlar"
538	"no"	"no"	1605	"burlar"
539	"yes"	"no"	1605	"burlar"
540	"yes"	"yes"	1605	"burlar"
541	"yes"	"yes"	1607	"burlar"
542	"yes"	"no"	1608	"burlar"
543	"yes"	"yes"	1609	"burlar"
544	"yes"	"no"	1609	"burlar"
545	"yes"	"yes"	1612	"burlar"
546	"yes"	"yes"	1612	"burlar"
547	"yes"	"no"	1612	"burlar"
548	"yes"	"no"	1612	"burlar"
549	"no"	"yes"	1612	"burlar"
550	"yes"	"yes"	1612	"burlar"
551	"yes"	"yes"	1614	"burlar"
552	"no"	"yes"	1614	"burlar"
553	"yes"	"yes"	1614	"burlar"
554	"yes"	"yes"	1614	"burlar"
555	"no"	"no"	1615	"burlar"
556	"yes"	"no"	1615	"burlar"
557	"yes"	"no"	1615	"burlar"
558	"no"	"yes"	1615	"burlar"
559	"yes"	"no"	1615	"burlar"
560	"yes"	"no"	1615	"burlar"
561	"yes"	"no"	1615	"burlar"
562	"no"	"yes"	1615	"burlar"
563	"yes"	"yes"	1615	"burlar"
564	"no"	"no"	1615	"burlar"
565	"no"	"no"	1615	"burlar"
566	"yes"	"no"	1615	"burlar"
567	"no"	"no"	1615	"burlar"
568	"yes"	"no"	1615	"burlar"
569	"no"	"no"	1615	"burlar"
570	"yes"	"no"	1615	"burlar"
571	"no"	"no"	1615	"burlar"
572	"no"	"no"	1615	"burlar"
573	"yes"	"no"	1615	"burlar"
574	"yes"	"no"	1615	"burlar"
575	"yes"	"no"	1615	"burlar"
576	"yes"	"yes"	1615	"burlar"
577	"yes"	"no"	1615	"burlar"
578	"yes"	"yes"	1615	"burlar"
579	"yes"	"yes"	1615	"burlar"
580	"yes"	"no"	1615	"burlar"
581	"yes"	"no"	1615	"burlar"
582	"yes"	"no"	1615	"burlar"
583	"yes"	"no"	1615	"burlar"
584	"yes"	"yes"	1617	"burlar"
585	"no"	"no"	1618	"burlar"
586	"yes"	"yes"	1618	"burlar"
