idplaces	name	country	country_code	longitude	latitude
7f7b45167128f0b7	Martindale	United States	US	-97.8408364	29.8454994
0d6cab20712ec871	Súper Manzana 20	México	MX	-86.827682	21.1543094
bcabd0038478f530	Alconchel de la Estrella	España	ES	-2.5746005	39.7190993
5d617aea8c8a35ae	Pontes e Lacerda	Brasil	BR	-59.3285193	-15.2334749
66800098005a2b07	Lomas de los Cedros	México	MX	-99.25798320000001	19.3257674
0071d9137a81b78f	General Carrera	Chile	CL	-72.4133268	-46.554859
37e618b08a80c9f4	Privada Residencial Santa Ana	México	MX	-90.5281454	19.8387583
07d9e6112b881001	El Paseo Tablado	United States	US	-66.11498399999999	18.358754
291e9c6ef7fa5391	Sáric	México	MX	-111.3788499	31.1039842
aa610b08fdea5ba8	Havana	United States	US	-98.50946549999999	26.245072
07d9f67ae2887000	Hospital Ryder	United States	US	-65.8355109	18.156013
becf5ce3f464d259	Vecinos	España	ES	-5.8782508	40.7784885
3d055e4bd6cc58e8	Real Las Quintas	México	MX	-99.21576979999999	18.913432
0b1f29e1e22ab264	La Independencia	México	MX	-92.020286	16.2520884
ffb0d693c8c1b749	La Granjuela	España	ES	-5.351433699999999	38.3716692
5ed22abafdb9043a	Lago de Xochimilco	México	MX	-115.4724036	32.6060993
55e9ba6a01f19776	Villamandos	España	ES	-5.5938957	42.1795926
139799edf3f62534	Jardines Villa Coapa	México	MX	-99.13385489999999	19.3015481
69112a3540d45542	Inpi Picos	México	MX	-99.10204130000001	19.3871082
2d478a0e424a3f3e	Pedregales de Montecristo	México	MX	-89.663204	21.0673041
4ccba79a1265d3fc	La Esperanza	México	MX	-100.3761083	25.7207268
61bc5173413d44ca	Òrrius	España	ES	2.3547718	41.5556586
24d3aeb165b434bc	La Albarrada	México	MX	-103.7448466	19.2310767
edc178e35f2069f6	Cebanico	España	ES	-5.026373	42.724798
07d9cd71a8c82004	Universidad De Puerto Rico Utuado	United States	US	-66.7210827	18.2536324
21cb83381611e645	Gabriel Pastor Segunda Sección	México	MX	-98.21104539999999	19.0253893
07d9dd975c885000	IHOP	United States	US	-95.9334583	36.7327962
52e80db80ba53eff	Ejidos de San Cristóbal	México	MX	-99.0488165	19.6174654
07d9ed2696083000	Centro De Distribución De Mayaguez	United States	US	-67.157376	18.2359597
0b02e0f55934a4a6	Santa Cruz	México	MX	-77.4634753	43.1114234
85ee3923dec5bf21	Ciria	España	ES	-1.9673725	41.6178554
0930549effd61000	Preferred Dental	United States	US	-94.2735146	39.0379014
588e83010baa666f	Conjunto Habitacional Ritz	México	MX	-103.3446508	20.7173971
c36944be6f6353c6	Mezalocha	España	ES	-1.0828629	41.4258501
045da37574a914ee	San Andrés Tetepilco	México	MX	-99.1303962	19.3731619
07d9cbfddc480000	Puma Isla Verde	United States	US	-66.0289193	18.4440689
7c86ea9e5df3285d	Santa María de Cementos	México	MX	-101.6742187	21.0872717
6b5f5d056b87cebf	Mazapa de Madero	México	MX	-92.187527	15.387171
005062b3606d6b5c	Manuel Crescencio Rejón	México	MX	-89.6669265	20.9287324
169421285fadaffc	Los Valdecolmenas	España	ES	-2.4703057	40.1087842
17ac54ad3098d70a	Destriana	España	ES	-6.0954574	42.3272395
07d9dde5c7c84000	Pepe Abad Toyota	United States	US	-66.1373412	18.1245119
6d7d0ce170c75877	Súper Manzana 3	México	MX	-86.8226617	21.1601705
0989f91bc116f000	paraiso coamo	United States	US	-66.35794729999999	18.0799616
010496da5dacb8c1	Ocoña	Peru	PE	-73.1069298	-16.430785
00ef46b18dcc8c72	San Rafael	México	MX	-102.0086482	19.4217877
41c2e4c2a1daafdd	Cholollan	México	MX	-98.32835089999999	19.0566255
3cfda2bf10cb910c	La Vellés	España	ES	-5.568291299999999	41.07249729999999
47b29e9b7156774b	Puerta del Sol	México	MX	-99.19578930000002	18.924167
07d9cfbd6e484001	Café Ocean Park	United States	US	-118.4525	34.021029
006d7faa7e3debdc	Panqueba	Colombia	CO	-72.458962	6.443113899999999
0a1eb7215b376dd1	Club Maeva	México	MX	-104.377009	19.1230952
00300bec4ea17144	Aguada Grande	Venezuela	VE	-69.4873923	10.5901532
06399806d2d16ce7	Guadalupe	México	MX	-101.6904626	21.109618
240fa8e35ea9184e	Ricardo Flores Magón FOVISSSTE	México	MX	-96.7122752	17.0843722
07d9f3f333085000	The St. Regis Bahia Beach Resort Bar	United States	US	-65.81974799999999	18.412531
bb15ae5b54aebf87	Romelândia	Brasil	BR	-53.3191758	-26.6785154
9a0ad7083a8980e5	San Miguel Ejutla	México	MX	-96.73789409999999	16.5800314
010fb77843ab20ea	Cusca	Peru	PE	-77.865218	-8.5103973
5b09710c8475e58c	Navarredonda de la Rinconada	España	ES	-6.0106937	40.6069074
48455516aa2b7b0b	Bahamas	México	MX	-100.402875	20.529555
46dd7e743d839906	Madrigalejo del Monte	España	ES	-3.7251041	42.1247563
79e3f5f228015421	Xangari	México	MX	-101.2190863	19.6718225
28a4de253519b945	Plan de Ayala Segunda Sección	México	MX	-99.2764794	19.4592777
934a58b4de671c94	Lechón	España	ES	-1.2839878	41.0867562
39d62396de3d1b10	Unidad Iztapalapa Universidad	México	MX	-99.07285159999999	19.3623565
69837d8b6ba9810b	Hollidaysburg	United States	US	-78.38890239999999	40.4272949
58cadf8a0b148332	Barrio Santiago Norte	México	MX	-99.1255544	19.3918198
786c1eed643f8782	Trancoso	México	MX	-102.3658686	22.7371518
b2cba9e8b0d1be51	Miraguaí	Brasil	BR	-53.6895971	-27.4974536
2d8a88e4ce24253b	Rinconada del Bosque	México	MX	-99.267991	19.4160787
ee71be2064903b10	Harvard	United States	US	-88.61371009999999	42.422241
07d9ce6b8d484000	Los Versalles	United States	US	-67.122559	18.231766
07d9c96d54485000	El Paso County Courthouse	United States	US	-104.8247716	38.8305079
62a2b4c48b3577c5	Sévignacq-Meyracq	France	FR	-0.410735	43.113524
168e729cc5e4abc5	Alpoyeca	México	MX	-98.5133999	17.6698177
5e99c97984783150	Cerro do Depósito	Brasil	BR	-55.5288859	-30.8783546
07d9c97121888001	Plaza Universitaria	United States	US	-66.0523941	18.4039931
6d7f89aac023ff3d	La Draga	México	MX	-99.04259770000002	19.2840056
10232bc7868dad0b	Bellavista	México	MX	-99.24391659999999	18.9552418
13c0e660d6056b3c	Bompas	France	FR	2.934218	42.732425
715abd3a4613154a	Villardonnel	France	FR	2.312715	43.339018
5a99c170e6228da2	Mariano Matamoros	México	MX	-116.8836724	32.4949757
140546c241f72868	Atenas	México	MX	-114.805691	32.451557
0d775a539b3491c6	Puerto México	México	MX	-94.4452233	18.1495289
07d9dcdda5483002	Centro de Convenciones de Coamo	United States	US	-66.3693342	18.065823
3277148a840e896a	Isla Iguana	México	MX	-105.247274	20.6615937
2c81cb83b9aeef19	Le Soler	France	FR	2.795395	42.682392
01e515e6327f14b9	Canyelles	España	ES	2.163444	41.4447489
07d9edd61f084002	La Coca Falls	United States	US	-65.7713485	18.3188329
720511044a29c401	Aeropuerto	México	MX	-105.2523762	20.6805184
07d9e3c44b486002	Villa Cofresí	United States	US	-67.25057269999999	18.3283847
72d2895286c444de	Las Alamedas	México	MX	-110.9761101	29.0622588
143ea6b8ff740253	San Francisco Culhuacán	México	MX	-99.1193297	19.3354179
009fbd0a4becd323	La Piedra	Venezuela	VE	-69.0701995	10.0893552
64dbc8dea2c01aa3	Tecnológico	México	MX	-96.1682762	19.2141049
65138bf72820b308	Santa María	México	MX	-100.8155201	20.4997616
07d9e3c1e8486000	Pastafina	United States	US	-98.244019	32.202689
07d9ce3d42487000	Lavanderia cristal	United States	US	-70.6775297	19.4505919
12343868c2726db3	Bosque de Chapultepec III Sección	México	MX	-99.2162139	19.4071207
a47618867aad1068	Rena	España	ES	-5.808904099999999	39.0534522
5e09cd37e04b31e5	Toral de los Vados	España	ES	-6.7761686	42.551441
024f0843705b5402	Bancaria	México	MX	-97.496977	25.8647807
014a6a516fd4b11a	Tallaboa Poniente	United States	US	-66.73406349999999	18.0319086
07d9cd700b887000	Beautiful Balloons	United States	US	-89.6022428	40.546799300000004
622e0b2f2e8cc7b1	Villanueva de las Torres	España	ES	-3.0908105	37.5577557
436ebab47cca4bc0	Las Aralias	México	MX	-105.2143615	20.6377004
0f2dd9e42bb06e2f	Copilco Universidad 300	México	MX	-99.1796956	19.336615
539d0f7cfb0afaeb	Auzeville-Tolosane	France	FR	1.483651	43.529195
0183e9eacd4ebfcc	Vicente Guerrero Primera Sección	México	MX	-98.36181069999999	20.09323
ffb6e857f5abd6bd	Leza	España	ES	-2.6331952	42.5655215
19be4d6ee21d7fe9	Olvega	España	ES	-1.9844827	41.7796324
07d9cb896f881001	Taco Palenque	United States	US	-95.29731050000001	29.698874
348e6fe4b2356111	Santa María de las Hoyas	España	ES	-3.1418934	41.77159959999999
6a0e01b0d1f31eb3	Jalpan	México	MX	-97.9425801	20.4774239
07d9e12d4e080000	Hijole	United States	US	-80.2307148	25.7794437
0a7f2ab440b39788	Bernardo Reyes	México	MX	-100.3378608	25.7150503
2ae82b12dd7bd237	Membrío	España	ES	-7.054304999999999	39.5268112
6576835a3e3f5b65	Valle de Lourdes	México	MX	-100.993065	25.3895661
0b68b469ff3d35a0	Luzón	España	ES	-2.2771971	41.0264377
dd081ab8d7106e84	Sueras	España	ES	-0.3327795	39.95284059999999
a2af83e3756e71b0	Los Balbases	España	ES	-4.0650739	42.2143266
0cc275a1f4a12a83	Burócratas Estatales Sur	México	MX	NA	NA
0749e87042f22047	Autenticas Playas	México	MX	NA	NA
bd2e4418feb8aa89	Peñascosa	España	ES	-2.4104201	38.6716596
60ba5289a9e05c62	Sancedo	España	ES	-6.6364214	42.6675092
012d2e463e3e7ea4	Delores	Venezuela	VE	NA	NA
11ea2659ba016a19	Nezahualpilli	México	MX	-99.03396140000001	19.5021381
70b6e7ab83d5b9d0	Puerto Castilla	España	ES	-5.6293663	40.288846
2b74693063aa5e6f	Molino de Santo Domingo	México	MX	-99.2085974	19.3935148
51ade50171b7e86b	Villafuerte	España	ES	-4.3224823	41.7324079
07d9ef1d07084002	Pavia Hospital Santurce	United States	US	-66.0689876	18.444245
07d9e99aca480001	Mirador de Barranquitas	United States	US	-66.3087415	18.1898948
2149b846d7518bee	Los Laureles	México	MX	-93.1647885	16.7619656
73d0046a94df2d74	Old West Austin	United States	US	-97.7551352	30.2954625
d1e309b4d5e0f9c8	Caseres	España	ES	0.2511497	41.0394453
942203d9eb4820c4	Chiconquiaco	México	MX	-96.8181529	19.7433384
0ca528dbd83cadb8	Aeropuerto	México	MX	-102.039299	19.3972311
78052931c41e0ca3	Gelos	France	FR	-0.372236	43.285713
07d9c93f77c86000	Hooters	United States	US	-95.8859123	36.0748888
07d9e3cb02888003	Casa Bacardi	United States	US	-81.7576962	26.5289687
0270923d19e1b3ce	Los Mangos	México	MX	-111.343059	26.0126656
